booking_id,user_id,show_id,booking_date,total_tickets,seat_numbers,total_amount,payment_status,transaction_ref
BK_1,US_543,SH_6385,2025-07-26 19:40:18,2,,810.88,completed,
BK_2,US_2440,SH_217,2024-05-31 11:52:49,1,,0.0,failed,
BK_3,US_4022,SH_431,2025-06-05 22:58:22,2,,846.3,completed,
BK_4,US_393,SH_6573,2024-05-11 03:39:48,1,,189.86,completed,
BK_5,US_8593,SH_4680,2024-09-21 04:57:45,1,,327.8,completed,
BK_7,US_9127,SH_8457,2024-09-30 23:31:54,4,,922.4,completed,
BK_8,US_5127,SH_6467,2024-03-05 10:28:18,2,,949.14,completed,
BK_9,US_5951,SH_365,2025-08-20 12:17:27,4,,0.0,failed,
BK_10,US_2851,SH_2314,2025-12-28 13:57:17,1,,486.87,completed,
BK_11,US_2505,SH_3671,2025-12-28 06:16:26,4,,0.0,refunded,
BK_12,US_7550,SH_361,2025-07-23 10:01:53,4,,0.0,failed,
BK_13,US_737,SH_69,2024-03-22 03:47:29,4,,1579.64,completed,
BK_14,US_1212,SH_934,2025-04-29 17:29:36,2,,765.96,completed,
BK_15,US_8432,SH_4698,2024-08-04 04:52:44,1,,166.74,completed,
BK_16,US_6809,SH_6881,2025-01-26 08:35:18,3,,0.0,failed,
BK_18,US_9226,SH_7940,2024-08-03 14:45:46,2,,820.08,completed,
BK_19,US_9018,SH_8416,2025-02-22 06:28:14,1,,499.89,completed,
BK_20,US_4929,SH_4449,2025-11-10 21:33:50,3,,1056.9,completed,
BK_21,US_6584,SH_2846,2025-09-02 14:28:49,4,,1471.36,completed,
BK_22,US_7920,SH_350,2024-07-18 06:24:31,3,,691.08,completed,
BK_23,US_3765,SH_3797,2024-10-15 17:30:58,2,,750.14,completed,
BK_24,US_8324,SH_1071,2024-03-19 00:29:20,3,,0.0,refunded,
BK_25,US_3831,SH_2988,2025-11-29 07:02:45,2,,601.92,completed,
BK_26,US_2881,SH_6188,2025-04-23 09:36:57,1,,458.11,completed,
BK_27,US_9456,SH_3130,2025-01-08 22:07:25,4,,0.0,refunded,
BK_28,US_5773,SH_1611,2025-10-01 06:54:55,2,,0.0,failed,
BK_29,US_1688,SH_3570,2025-05-04 21:36:35,1,,291.17,completed,
BK_30,US_138,SH_368,2025-02-23 07:19:42,3,,638.3100000000001,completed,
BK_31,US_6341,SH_2235,2024-11-02 23:01:30,3,,0.0,refunded,
BK_32,US_9990,SH_7841,2024-01-15 12:53:18,2,,588.04,completed,
BK_33,US_1923,SH_2985,2025-09-19 18:58:11,3,,639.27,completed,
BK_34,US_3871,SH_926,2024-01-13 11:15:49,4,,1563.44,completed,
BK_35,US_3611,SH_8697,2024-01-03 19:24:36,1,,376.8,completed,
BK_36,US_8242,SH_4759,2024-06-15 16:46:58,3,,603.6899999999999,completed,
BK_37,US_4057,SH_3851,2025-05-03 10:43:40,1,,310.65,completed,
BK_38,US_1861,SH_4184,2024-04-09 08:11:06,4,,655.68,completed,
BK_39,US_6755,SH_6946,2024-09-02 01:20:09,3,,564.99,completed,
BK_41,US_5592,SH_3230,2024-01-27 06:10:10,1,,388.05,completed,
BK_44,US_950,SH_7138,2024-09-17 00:37:29,3,,1168.1100000000001,completed,
BK_45,US_7217,SH_474,2024-04-19 20:16:45,2,,669.98,completed,
BK_46,US_6807,SH_3864,2024-11-04 03:35:48,3,,758.34,completed,
BK_47,US_3114,SH_5178,2024-09-05 21:37:15,4,,950.76,completed,
BK_49,US_462,SH_5098,2025-09-07 17:01:13,2,,638.08,completed,
BK_52,US_5891,SH_6551,2024-11-13 11:21:09,2,,745.0,completed,
BK_54,US_7727,SH_2907,2024-11-02 00:00:46,2,,0.0,refunded,
BK_55,US_3570,SH_6123,2024-02-01 05:02:38,2,,0.0,failed,
BK_56,US_6170,SH_9298,2024-04-04 23:07:04,4,,650.44,completed,
BK_57,US_6021,SH_8474,2025-04-07 19:40:11,2,,914.78,completed,
BK_59,US_6551,SH_1623,2025-10-22 02:54:43,3,,1436.04,completed,
BK_60,US_883,SH_7385,2025-09-21 14:56:13,2,,913.76,completed,
BK_61,US_8894,SH_6127,2025-12-09 02:26:06,3,,1074.75,completed,
BK_62,US_2663,SH_1854,2025-10-28 09:36:28,1,,498.21,completed,
BK_63,US_8180,SH_147,2025-03-19 11:26:55,1,,224.85,completed,
BK_64,US_6345,SH_7493,2025-09-06 15:57:49,3,,0.0,failed,
BK_65,US_97,SH_4445,2025-09-30 12:00:29,1,,276.05,completed,
BK_66,US_8992,SH_2843,2024-04-30 06:21:04,4,,950.32,completed,
BK_67,US_9830,SH_1257,2024-11-09 03:13:56,4,,1730.44,completed,
BK_68,US_965,SH_3797,2024-07-13 05:32:10,2,,750.14,completed,
BK_69,US_1397,SH_7808,2025-12-09 09:27:31,2,,0.0,refunded,
BK_70,US_9456,SH_8926,2024-08-10 22:58:18,4,,709.6,completed,
BK_71,US_7126,SH_6819,2025-03-05 18:48:00,3,,0.0,refunded,
BK_72,US_3394,SH_8444,2024-02-07 10:35:25,1,,327.25,completed,
BK_73,US_3368,SH_8193,2025-03-15 21:31:02,1,,415.84,completed,
BK_74,US_5784,SH_728,2024-01-13 03:45:45,3,,1189.0500000000002,completed,
BK_75,US_487,SH_9582,2024-03-02 19:42:36,1,,491.79,completed,
BK_77,US_5133,SH_4267,2024-05-05 12:19:32,3,,717.84,completed,
BK_78,US_5003,SH_5463,2024-11-12 11:54:19,1,,454.5,completed,
BK_79,US_7869,SH_1482,2025-11-22 10:49:55,3,,0.0,failed,
BK_80,US_279,SH_4706,2025-10-13 22:52:00,4,,0.0,failed,
BK_81,US_8287,SH_9533,2024-08-24 09:28:32,1,,193.09,completed,
BK_82,US_9512,SH_4165,2025-05-02 13:32:56,4,,1397.8,completed,
BK_83,US_693,SH_5090,2025-02-08 04:56:55,4,,1790.32,completed,
BK_84,US_4554,SH_1078,2024-04-17 16:37:21,1,,300.17,completed,
BK_85,US_7110,SH_6067,2025-11-18 09:09:56,1,,277.38,completed,
BK_86,US_6237,SH_4705,2025-05-13 04:01:25,3,,610.74,completed,
BK_87,US_2338,SH_10000,2025-02-06 23:34:24,3,,0.0,failed,
BK_88,US_2694,SH_3805,2024-10-02 16:48:09,1,,0.0,refunded,
BK_89,US_1452,SH_1216,2025-05-07 12:22:54,4,,1814.12,completed,
BK_90,US_2992,SH_2696,2024-09-25 23:17:39,1,,461.79,completed,
BK_91,US_8220,SH_7834,2025-02-27 04:17:02,3,,0.0,refunded,
BK_92,US_2863,SH_6205,2024-04-23 13:21:35,1,,151.48,completed,
BK_93,US_6642,SH_5139,2025-08-13 20:48:02,2,,0.0,failed,
BK_94,US_84,SH_6460,2025-02-24 22:48:29,3,,620.16,completed,
BK_95,US_6447,SH_7269,2025-03-09 12:09:29,4,,1559.12,completed,
BK_96,US_3943,SH_6049,2024-12-10 22:28:48,3,,483.41999999999996,completed,
BK_97,US_7144,SH_1068,2025-01-17 03:18:34,1,,311.26,completed,
BK_98,US_8140,SH_6696,2025-09-12 06:27:05,3,,1239.54,completed,
BK_99,US_3859,SH_1673,2024-03-21 02:16:05,4,,0.0,failed,
BK_100,US_8701,SH_3176,2025-12-20 15:05:03,1,,431.46,completed,
BK_101,US_7789,SH_1179,2024-09-15 21:10:12,1,,462.51,completed,
BK_103,US_2121,SH_3878,2024-11-01 07:14:55,4,,986.4,completed,
BK_104,US_4851,SH_7437,2024-04-10 04:55:15,4,,774.68,completed,
BK_106,US_6278,SH_9411,2024-01-15 14:01:50,3,,517.59,completed,
BK_107,US_2937,SH_9702,2025-06-17 10:05:09,1,,472.52,completed,
BK_108,US_3313,SH_7645,2024-03-07 13:07:24,4,,1905.72,completed,
BK_109,US_3553,SH_9924,2025-04-01 18:28:30,1,,0.0,refunded,
BK_110,US_2302,SH_7393,2024-07-26 16:24:21,1,,226.51,completed,
BK_111,US_4040,SH_2134,2025-01-11 05:14:25,2,,387.86,completed,
BK_112,US_6184,SH_8348,2025-05-05 14:38:37,2,,847.36,completed,
BK_113,US_7758,SH_6458,2025-01-29 01:23:02,1,,0.0,failed,
BK_114,US_2880,SH_4195,2024-10-30 02:44:04,1,,294.74,completed,
BK_115,US_5904,SH_4394,2025-11-07 12:30:35,1,,475.3,completed,
BK_118,US_7565,SH_9856,2024-10-07 23:22:48,2,,574.4,completed,
BK_119,US_7766,SH_4582,2025-01-16 04:23:51,3,,852.0899999999999,completed,
BK_120,US_6637,SH_8318,2025-11-06 07:55:51,4,,1518.36,completed,
BK_121,US_8503,SH_6828,2025-04-11 04:15:38,1,,358.08,completed,
BK_122,US_7734,SH_7615,2024-04-23 19:39:42,1,,0.0,refunded,
BK_123,US_882,SH_9326,2024-06-12 02:45:29,3,,0.0,failed,
BK_126,US_2720,SH_7072,2024-11-07 17:50:00,4,,925.88,completed,
BK_127,US_5405,SH_6238,2024-06-18 19:58:48,1,,214.59,completed,
BK_129,US_4863,SH_1224,2025-08-21 18:56:37,3,,1060.9499999999998,completed,
BK_130,US_3079,SH_5011,2024-09-22 05:02:42,1,,297.47,completed,
BK_131,US_3779,SH_7290,2025-10-02 10:49:23,3,,827.8199999999999,completed,
BK_132,US_7436,SH_4956,2024-07-07 21:41:40,2,,0.0,refunded,
BK_133,US_9398,SH_4567,2025-10-20 02:28:40,4,,1098.08,completed,
BK_137,US_1769,SH_7693,2024-07-14 00:13:33,4,,0.0,failed,
BK_138,US_7532,SH_7273,2024-12-10 21:40:28,4,,0.0,failed,
BK_139,US_4950,SH_217,2025-08-11 23:58:41,4,,0.0,refunded,
BK_140,US_2978,SH_9591,2025-12-18 06:11:53,1,,459.05,completed,
BK_141,US_8241,SH_5641,2025-01-11 16:21:22,2,,676.52,completed,
BK_142,US_6052,SH_299,2025-07-19 15:18:06,2,,724.46,completed,
BK_143,US_3252,SH_1211,2025-02-13 08:59:38,2,,0.0,failed,
BK_144,US_3256,SH_7181,2025-05-24 14:43:40,3,,618.84,completed,
BK_146,US_3599,SH_6355,2024-12-09 12:14:22,4,,870.4,completed,
BK_147,US_4850,SH_6955,2025-08-23 23:53:55,4,,1163.12,completed,
BK_148,US_9605,SH_8323,2025-03-27 07:54:46,4,,1305.2,completed,
BK_149,US_9716,SH_2428,2024-02-09 14:26:08,4,,737.64,completed,
BK_150,US_1161,SH_6816,2025-04-20 04:10:38,1,,470.04,completed,
BK_151,US_8518,SH_5840,2024-04-20 05:20:19,2,,0.0,failed,
BK_152,US_2825,SH_2797,2024-09-04 21:14:46,4,,1492.6,completed,
BK_153,US_6214,SH_3200,2024-10-25 16:43:15,1,,307.86,completed,
BK_154,US_7386,SH_9796,2024-04-12 03:15:16,2,,709.98,completed,
BK_157,US_9640,SH_6336,2024-04-07 07:00:21,1,,367.55,completed,
BK_158,US_1012,SH_2931,2024-10-24 21:14:10,4,,628.28,completed,
BK_159,US_3874,SH_8330,2025-10-11 14:05:46,2,,0.0,failed,
BK_160,US_6759,SH_1054,2025-10-25 18:47:03,4,,1912.44,completed,
BK_161,US_4481,SH_6612,2025-04-01 15:26:33,4,,779.0,completed,
BK_162,US_2664,SH_114,2024-11-04 06:32:43,4,,924.84,completed,
BK_166,US_3391,SH_9754,2025-10-29 00:12:58,1,,395.4,completed,
BK_167,US_7287,SH_8849,2025-10-10 08:00:35,2,,991.86,completed,
BK_168,US_9789,SH_538,2025-05-08 20:41:44,4,,1950.84,completed,
BK_169,US_9114,SH_6459,2024-01-22 00:10:59,2,,491.44,completed,
BK_170,US_4114,SH_3209,2024-09-29 13:48:05,3,,488.88,completed,
BK_171,US_3658,SH_7831,2025-07-11 06:16:23,2,,940.92,completed,
BK_172,US_649,SH_5832,2024-11-08 09:43:36,1,,263.22,completed,
BK_173,US_4328,SH_26,2024-07-29 06:45:34,1,,0.0,refunded,
BK_174,US_6475,SH_412,2024-08-25 09:27:33,3,,729.42,completed,
BK_176,US_1541,SH_5409,2025-09-05 02:48:18,1,,248.13,completed,
BK_177,US_2353,SH_9855,2024-05-05 03:12:20,4,,656.76,completed,
BK_178,US_674,SH_7372,2024-05-08 00:14:58,3,,665.52,completed,
BK_179,US_8127,SH_3158,2024-02-16 00:28:12,1,,481.89,completed,
BK_180,US_6563,SH_7420,2024-05-07 03:09:20,2,,665.28,completed,
