movie_id,title,genre,language,duration,rating,release_date,description,poster_url,status
MV_1,Address clear,Sci-Fi,Kannada,118,6.6,2022-03-05,"Leave research put serious. Stand wrong player soldier.
Way exist point audience reason forget certain. Program seat field something. Paper enjoy Republican former always rise fill half.",,active
MV_2,Popular business,Comedy,Kannada,122,4.2,2022-03-28,"Stuff next list crime his.
Turn one wish movement parent hair. Man social short nice.
Simply through apply order not. Spring under agency worry only easy serious answer.",,active
MV_3,Determine amount art,Sci-Fi,Bengali,130,5.1,2018-09-09,"Goal study up world treatment. Night idea catch situation. Market use whose.
Speech hope able serious window effort.
Beat maybe live scene. Hand last college Republican. Prepare less star over.",,active
MV_4,East,Thriller,Malayalam,98,5.3,2009-07-12,"Morning run card work cover. Much party industry mind old instead medical. Affect look close hot yet the.
Though mention meet hundred. Fish coach ten cell attention real.",,active
MV_5,Ready road establish,Romance,Kannada,171,8.8,2010-01-12,"Agency five by light person care. Sea else from theory dream call continue.
Entire wide into everyone along avoid. Right perhaps affect.",,active
MV_6,While institution,Comedy,Tamil,137,8.2,2003-04-05,Measure expect back different similar. Fast manage present approach level difficult capital. Pattern behind use hot task. Particular president face forward.,,active
MV_7,Arm country her,Romance,Hindi,180,7.9,2003-05-28,Drive almost blue direction make could behavior put. Produce buy require assume. Public would south meet fine others here hard.,,active
MV_8,Night mind,Romance,Hindi,97,8.0,2022-08-15,"Old cup discussion yes. Factor say Democrat treat theory.
Hot seven worry that easy every. Truth but address. Owner tonight sound hit present fine.",,active
MV_9,Miss bit,Drama,English,111,4.8,2002-06-17,"Dinner final think grow. Herself suddenly item gun dog.
Section stock focus. Carry debate PM form.
Law born blood well camera. Type college change live. Various suffer himself.",,active
MV_10,After there quickly matter,Romance,Hindi,130,4.3,2013-08-27,"Attorney nation energy. Herself keep music economic case.
Agency run technology say reason officer who. On speak read foreign painting director military.
Foreign both continue avoid knowledge indeed.",,active
MV_11,Wait win story,Thriller,English,106,7.2,2010-06-13,"Throughout ball life sport other keep today box. Magazine article effort run.
Shoulder world trade exist letter be wait. Important million medical develop tree than age.",,active
MV_12,Parent might thank child,Romance,Hindi,156,4.2,2022-12-27,"Marriage meet work direction himself travel investment. Nor consider chance notice.
Once possible two event. Coach still technology six ahead.",,active
MV_13,Important true,Action,English,137,8.1,2013-04-28,Thing success debate human fact. Military effect I computer stock reason. Your among her instead rather.,,active
MV_14,Exactly turn traditional,Comedy,Malayalam,128,4.6,2010-10-18,Imagine few bring read need wish do alone. Suffer final hot full. Ability key listen body price challenge.,,active
MV_15,Day prevent,Comedy,English,144,8.3,2002-02-03,"Relate staff land. East science recent account everything happy. The against after quickly arm ever market.
Instead control direction camera true past other. Reflect if everyone explain.",,active
MV_16,Far sea scientist,Horror,Tamil,103,3.3,2021-01-13,"Color those second identify main blood sort.
Door him deep international. Heavy provide word team whole physical she.",,active
MV_17,Seem personal,Horror,Bengali,120,5.3,2021-11-24,Require point compare relate. Wife training new law. One environment account store else foreign establish.,,active
MV_18,Note house,Sci-Fi,English,90,3.9,2014-10-11,Citizen dinner five necessary else truth politics. Figure admit possible teach something. Serve firm under important.,,active
MV_19,Term read,Romance,Bengali,159,5.4,2016-11-09,"Process heart interview catch. Simply you to. Behavior turn film participant approach over.
Argue within trip plan. Including beyond perform teach floor course house Mrs.",,active
MV_20,Speak future west,Romance,Tamil,149,6.0,2022-12-29,Catch mind everything really current fire. Project within unit gas evidence bill per. Somebody again hand modern. Table book example maintain low white blood.,,active
MV_21,Defense investment,Drama,Telugu,114,5.5,2011-09-23,"Decide Mrs stage. Fly region task stay seem lawyer together despite. Cover child second thing.
Congress all door heavy. Place time source conference various speech director involve.",,active
MV_22,Know account analysis,Comedy,Bengali,90,7.8,2007-12-03,"Information other job nice series treat. Yard describe south policy go back there. Available enough behind ready.
Word leave anyone five. East response expert change by yet.",,active
MV_23,Cold trip,Romance,Telugu,158,8.2,2005-04-04,"Behavior rule reflect modern positive decide. Clear artist available develop medical anything ground long.
Guess strong later space. Kind walk well soon game guess anything.",,active
MV_24,Statement wrong why,Comedy,Tamil,162,6.6,2005-06-14,People realize could single daughter strategy. Test first step ready son. National industry pretty speech cultural. Decade radio prove consider pass.,,active
MV_25,Break feel others,Action,Tamil,150,7.9,2001-06-23,"Worker out enter place term situation they. Military wind try great.
Smile world college two environment. Growth according major country start almost. Number talk eye.",,active
MV_26,Nearly population give class,Sci-Fi,Malayalam,106,7.8,2002-12-12,"Indeed thousand agent.
Game together parent. Business special thus think.
Recognize she once record house force. Represent responsibility computer.",,active
MV_27,Suddenly choice result,Action,Kannada,91,7.4,2023-07-30,"Out store physical reason the middle several audience.
Difference seem gas couple today. Any go change. And standard score look box everybody central.",,active
MV_28,Store,Sci-Fi,Telugu,171,6.1,2021-03-12,Listen again indeed fast enter to purpose. Fast yourself how red management himself yes this. Tonight cold black particular southern almost safe.,,active
MV_29,Ever small,Thriller,Bengali,148,6.9,2012-07-11,"Major it cell still white claim. Commercial talk east statement as their baby.
Year set run admit wrong color job. Before site project subject go.",,active
MV_30,Exist,Comedy,Tamil,118,5.3,2020-10-02,"Type style good term enjoy action stop. Knowledge protect win gun decade. Ever within capital relate learn baby that.
Region think any Democrat.",,active
MV_31,Building dinner recognize,Horror,Telugu,161,6.7,2007-06-14,"Toward base almost upon before couple. Despite the teach memory hair picture.
Dog step whose represent main decade management sell. My key nearly create. More read speak international mention then.",,active
MV_32,Head increase big,Thriller,English,111,7.9,2004-02-08,"Design good change opportunity rate teacher author. Professional form religious. His lose until born option medical certain.
Pull by federal admit.",,active
MV_33,Increase toward tell,Sci-Fi,Kannada,151,6.8,2010-03-31,"Perform town result walk certainly.
Director compare thus true part. Fire me American alone. Property rich father enter would appear consider conference.",,active
MV_34,Mouth attack,Drama,English,150,8.8,2004-09-12,"Tend soon act pass. Focus road sense which toward.
Necessary someone they. Career part responsibility.",,active
MV_35,Important true,Romance,English,150,7.5,2005-07-08,Always movie hold two glass. Low western class man figure and rich. Power what garden thing scientist.,,active
MV_36,Attack technology,Thriller,Hindi,148,5.1,2007-02-26,"Plant perhaps pass ball. Us provide business actually.
Budget sea agreement guy fight evidence. Month reflect strong per drug charge. Would those sea south.",,active
MV_37,Stuff even,Drama,Telugu,104,8.1,2017-05-02,"Animal husband real example. Scientist sign treatment its. Base follow short.
Good suffer possible learn. Crime throughout behind how friend natural.",,active
MV_38,Degree voice challenge,Comedy,Malayalam,105,7.9,2016-01-02,Decade again guess claim watch network subject. Else relationship drive likely necessary thank from. Tell himself test interesting effect although seat.,,active
MV_39,Would teacher,Romance,Telugu,154,4.4,2019-10-09,"Company position find that. Tax finish lose decide hope.
No article political company threat view marriage. Everything thus economy result large food adult.",,active
