payment_id,booking_id,user_id,amount,payment_method,payment_date,status,transaction_ref
PMT_1,BK_1,US_543,810.88,Credit Card,2025-07-26 19:40:18,completed,
PMT_2,BK_2,US_2440,0.0,Debit Card,2024-05-31 11:52:49,failed,
PMT_3,BK_3,US_4022,846.3,Wallet,2025-06-05 22:58:22,completed,
PMT_4,BK_4,US_393,189.86,Wallet,2024-05-11 03:39:48,completed,
PMT_5,BK_5,US_8593,327.8,Wallet,2024-09-21 04:57:45,completed,
PMT_7,BK_7,US_9127,922.4,Net Banking,2024-09-30 23:31:54,completed,
PMT_8,BK_8,US_5127,949.14,Net Banking,2024-03-05 10:28:18,completed,
PMT_9,BK_9,US_5951,0.0,Debit Card,2025-08-20 12:17:27,failed,
PMT_10,BK_10,US_2851,486.87,Wallet,2025-12-28 13:57:17,completed,
PMT_11,BK_11,US_2505,0.0,Net Banking,2025-12-28 06:16:26,refunded,
PMT_12,BK_12,US_7550,0.0,Debit Card,2025-07-23 10:01:53,failed,
PMT_13,BK_13,US_737,1579.64,Credit Card,2024-03-22 03:47:29,completed,
PMT_14,BK_14,US_1212,765.96,Credit Card,2025-04-29 17:29:36,completed,
PMT_15,BK_15,US_8432,166.74,Wallet,2024-08-04 04:52:44,completed,
PMT_16,BK_16,US_6809,0.0,Debit Card,2025-01-26 08:35:18,failed,
PMT_18,BK_18,US_9226,820.08,UPI,2024-08-03 14:45:46,completed,
PMT_19,BK_19,US_9018,499.89,Wallet,2025-02-22 06:28:14,completed,
PMT_20,BK_20,US_4929,1056.9,UPI,2025-11-10 21:33:50,completed,
PMT_21,BK_21,US_6584,1471.36,UPI,2025-09-02 14:28:49,completed,
PMT_22,BK_22,US_7920,691.08,Wallet,2024-07-18 06:24:31,completed,
PMT_23,BK_23,US_3765,750.14,Wallet,2024-10-15 17:30:58,completed,
PMT_24,BK_24,US_8324,0.0,Wallet,2024-03-19 00:29:20,refunded,
PMT_25,BK_25,US_3831,601.92,UPI,2025-11-29 07:02:45,completed,
PMT_26,BK_26,US_2881,458.11,Credit Card,2025-04-23 09:36:57,completed,
PMT_27,BK_27,US_9456,0.0,Wallet,2025-01-08 22:07:25,refunded,
