review_id,user_id,movie_id,rating,comment,review_date
REV_1,US_8392,MV_8805,1.2,Could be better.,2025-07-01 16:16:00
REV_2,US_9928,MV_1331,3.7,Could be better.,2024-10-30 15:30:27
REV_3,US_4495,MV_3210,2.2,Could be better.,2024-03-08 04:10:25
REV_4,US_1868,MV_2311,6.3,Great movie!,2024-05-13 10:00:49
REV_6,US_467,MV_3174,8.3,Great movie!,2024-03-02 06:26:19
REV_7,US_9968,MV_3997,8.3,Great movie!,2025-07-21 20:32:01
REV_8,US_3759,MV_1429,6.0,Great movie!,2024-09-17 03:32:23
REV_9,US_3930,MV_4333,6.2,Great movie!,2025-03-15 00:03:30
REV_10,US_2201,MV_861,9.0,Great movie!,2025-05-21 04:23:30
REV_11,US_784,MV_2761,1.8,Great movie!,2025-06-07 02:09:39
REV_12,US_2832,MV_1582,9.8,Great movie!,2024-10-09 20:37:33
REV_13,US_7659,MV_7142,6.3,Could be better.,2024-01-11 21:07:53
REV_14,US_1915,MV_7888,9.8,Could be better.,2025-05-21 16:42:17
REV_15,US_3708,MV_736,2.3,Great movie!,2025-09-11 14:35:58
REV_16,US_3641,MV_9184,6.7,Could be better.,2024-08-07 13:46:06
REV_17,US_2808,MV_1209,4.3,Great movie!,2024-10-31 18:57:19
REV_19,US_648,MV_2055,2.2,Could be better.,2024-10-22 05:42:00
REV_20,US_2590,MV_6451,3.1,Could be better.,2024-08-26 06:16:11
REV_21,US_348,MV_420,8.8,Great movie!,2025-10-29 16:36:27
REV_22,US_9350,MV_4007,2.5,Great movie!,2025-02-15 12:05:46
REV_23,US_1138,MV_7049,6.9,Could be better.,2025-06-23 07:45:31
REV_24,US_6136,MV_5636,8.9,Great movie!,2024-10-06 03:58:59
REV_25,US_9669,MV_9861,5.4,Great movie!,2024-01-03 14:20:28
REV_26,US_6854,MV_757,4.3,Could be better.,2025-07-24 21:20:49
REV_27,US_1248,MV_4427,9.9,Great movie!,2025-01-28 16:42:47
REV_28,US_492,MV_2759,1.5,Great movie!,2025-06-08 09:40:28
REV_29,US_6708,MV_2908,8.6,Could be better.,2024-03-12 05:30:31
REV_30,US_5883,MV_1626,6.5,Could be better.,2024-11-05 05:26:02
REV_31,US_6643,MV_9164,2.1,Great movie!,2024-09-11 07:28:04
REV_32,US_246,MV_5066,5.1,Could be better.,2025-01-29 09:19:50
REV_33,US_7435,MV_3024,3.6,Great movie!,2024-07-20 03:17:05
REV_34,US_3194,MV_2237,5.7,Could be better.,2025-01-16 01:23:44
REV_35,US_5854,MV_1320,9.9,Could be better.,2024-11-30 19:16:12
REV_36,US_6905,MV_7835,1.7,Could be better.,2024-01-05 10:07:32
REV_37,US_5648,MV_6470,1.4,Could be better.,2024-04-24 18:01:40
REV_38,US_949,MV_1454,8.9,Could be better.,2024-03-03 05:09:13
REV_39,US_2775,MV_9617,1.8,Great movie!,2024-01-24 20:17:27
REV_40,US_4802,MV_1286,3.9,Great movie!,2025-05-03 06:08:45
REV_41,US_2847,MV_1265,9.4,Great movie!,2025-09-03 18:40:23
REV_42,US_9835,MV_8469,7.5,Could be better.,2024-01-08 20:07:53
REV_43,US_5352,MV_9683,1.4,Could be better.,2025-09-30 17:38:00
REV_45,US_3768,MV_6721,9.4,Great movie!,2024-11-29 15:04:28
REV_46,US_1093,MV_363,9.4,Could be better.,2025-03-17 17:26:53
REV_47,US_1294,MV_1341,2.0,Could be better.,2025-05-03 23:42:07
REV_48,US_7909,MV_311,2.6,Could be better.,2025-10-18 05:32:07
REV_49,US_5571,MV_1712,3.3,Could be better.,2024-01-16 11:48:05
REV_50,US_5752,MV_3588,8.2,Great movie!,2024-03-15 17:54:22
REV_51,US_6443,MV_6057,3.0,Could be better.,2024-09-18 02:41:32
