screen_id,theater_id,screen_number,total_seats
SC_1,TH_415,2,266
SC_2,TH_250,7,276
SC_3,TH_314,10,171
SC_4,TH_284,6,216
SC_5,TH_196,6,159
SC_6,TH_291,4,169
SC_7,TH_171,1,196
SC_8,TH_402,1,163
SC_9,TH_208,6,152
SC_10,TH_2,2,161
SC_11,TH_417,3,154
SC_12,TH_235,6,169
SC_13,TH_78,5,288
SC_14,TH_190,9,239
SC_15,TH_495,8,104
SC_16,TH_51,6,286
SC_17,TH_188,3,108
SC_18,TH_79,9,272
SC_19,TH_212,10,217
SC_20,TH_465,6,181
SC_21,TH_58,6,200
SC_22,TH_349,7,220
SC_23,TH_33,6,256
SC_24,TH_400,7,160
SC_25,TH_258,4,172
SC_26,TH_381,5,141
SC_27,TH_465,5,140
SC_28,TH_48,6,159
SC_29,TH_106,2,139
SC_30,TH_330,5,129
SC_31,TH_35,1,137
SC_32,TH_20,9,256
SC_33,TH_214,7,270
SC_34,TH_44,3,129
SC_35,TH_159,7,242
SC_36,TH_432,9,269
SC_37,TH_29,6,234
SC_38,TH_419,3,166
SC_39,TH_233,6,221
SC_40,TH_229,8,140
SC_41,TH_211,2,107
SC_42,TH_85,4,182
SC_43,TH_219,2,267
SC_44,TH_22,5,233
SC_45,TH_332,8,199
SC_46,TH_325,10,234
SC_47,TH_98,1,172
SC_48,TH_63,7,296
SC_49,TH_72,4,290
SC_50,TH_361,7,191
SC_51,TH_145,3,272
SC_52,TH_457,10,108
SC_53,TH_130,10,223
SC_54,TH_274,8,287
SC_55,TH_20,3,230
SC_56,TH_466,8,148
SC_57,TH_32,1,114
SC_58,TH_257,9,149
SC_59,TH_420,10,220
SC_60,TH_197,9,187
SC_61,TH_407,4,244
SC_62,TH_28,9,176
SC_63,TH_421,8,157
SC_64,TH_102,7,219
SC_65,TH_441,8,242
SC_66,TH_237,8,295
SC_67,TH_41,9,134
SC_68,TH_16,3,288
SC_69,TH_284,2,155
SC_70,TH_403,10,243
SC_71,TH_446,8,208
SC_72,TH_197,5,212
SC_73,TH_417,8,139
SC_74,TH_385,6,175
SC_75,TH_282,10,201
SC_76,TH_67,6,215
SC_77,TH_470,7,289
SC_78,TH_367,8,225
SC_79,TH_408,9,128
SC_80,TH_429,10,192
SC_81,TH_393,6,193
SC_82,TH_159,10,104
SC_83,TH_318,8,243
SC_84,TH_242,2,133
SC_85,TH_448,7,295
SC_86,TH_262,6,203
SC_87,TH_186,3,274
SC_88,TH_6,10,218
SC_89,TH_331,9,281
SC_90,TH_323,4,254
SC_91,TH_103,3,132
SC_92,TH_330,3,240
SC_93,TH_281,7,150
SC_94,TH_155,9,259
SC_95,TH_275,8,272
SC_96,TH_164,1,114
SC_97,TH_436,9,113
SC_98,TH_296,10,221
SC_99,TH_30,5,298
SC_100,TH_67,8,116
SC_101,TH_52,9,288
SC_102,TH_275,3,163
SC_103,TH_1,8,276
SC_104,TH_97,4,300
SC_105,TH_365,10,268
SC_106,TH_128,2,201
SC_108,TH_207,7,291
SC_109,TH_69,9,150
SC_110,TH_397,5,135
SC_111,TH_268,2,202
SC_112,TH_335,9,197
SC_113,TH_245,2,253
SC_114,TH_75,1,233
