seat_id,booking_id,screen_id,seat_number,seat_type,charger,status,show_id
ST_1,BK_9384,SC_666,B18,VIP,True,Available,
ST_2,BK_8532,SC_631,E6,Regular,True,Booked,
ST_3,,SC_820,A8,Regular,True,Reserved,
ST_4,BK_1547,SC_23,D19,Regular,True,Available,
ST_5,BK_3569,SC_206,C10,VIP,True,Booked,
ST_6,,SC_293,B16,Regular,True,Available,
ST_7,BK_9252,SC_720,A11,Premium,True,Available,
ST_8,BK_6712,SC_720,A18,Premium,True,Available,
ST_9,BK_3078,SC_504,A20,Premium,True,Booked,
ST_10,BK_6810,SC_458,B9,Regular,True,Booked,
ST_12,BK_2081,SC_78,D8,Premium,True,Available,
ST_13,BK_5194,SC_447,E19,Regular,True,Booked,
ST_14,BK_6676,SC_786,D7,Premium,True,Booked,
ST_15,BK_1453,SC_736,D12,Regular,True,Booked,
ST_16,BK_1853,SC_594,E4,Regular,True,Reserved,
ST_17,,SC_575,A14,Regular,True,Booked,
ST_18,BK_4019,SC_920,B6,Premium,True,Booked,
ST_19,BK_3516,SC_778,C12,Premium,True,Available,
ST_20,BK_6091,SC_345,D4,Premium,True,Booked,
ST_21,BK_5418,SC_151,A11,Regular,True,Reserved,
ST_22,BK_6175,SC_979,C12,VIP,True,Booked,
ST_23,BK_9858,SC_351,B18,Regular,True,Booked,
ST_24,BK_887,SC_406,E19,Premium,True,Booked,
ST_25,BK_1531,SC_458,C9,Regular,True,Booked,
ST_26,BK_4981,SC_96,A7,Regular,True,Booked,
ST_27,BK_1142,SC_648,E17,Premium,True,Booked,
ST_28,BK_5114,SC_98,E15,Regular,True,Booked,
ST_29,BK_9192,SC_755,A6,Premium,True,Reserved,
ST_30,BK_2903,SC_237,E20,Regular,True,Reserved,
ST_31,BK_8381,SC_136,C13,Regular,True,Booked,
ST_32,BK_8435,SC_939,E15,Regular,True,Reserved,
ST_33,BK_5174,SC_64,C6,Regular,True,Booked,
ST_34,BK_9915,SC_867,C9,Regular,True,Available,
ST_35,BK_1545,SC_445,B15,Regular,True,Available,
ST_36,BK_4907,SC_859,A18,VIP,True,Booked,
ST_38,BK_1770,SC_109,B2,Regular,True,Booked,
ST_39,BK_5042,SC_293,C16,Premium,True,Available,
ST_40,,SC_67,C9,Regular,True,Booked,
ST_41,BK_5863,SC_307,D8,Regular,True,Booked,
ST_42,BK_3661,SC_333,D6,Premium,True,Reserved,
ST_44,BK_4487,SC_611,C18,Premium,True,Reserved,
ST_45,BK_781,SC_930,A2,Regular,True,Booked,
ST_46,,SC_720,C19,Regular,True,Booked,
ST_47,BK_5969,SC_204,E17,Regular,True,Booked,
ST_48,BK_5333,SC_869,E13,Regular,True,Available,
ST_50,BK_5599,SC_673,A13,Regular,True,Reserved,
ST_51,BK_4357,SC_93,E10,Regular,True,Booked,
ST_52,,SC_215,E8,Regular,True,Booked,
ST_53,BK_9051,SC_676,D2,Regular,True,Booked,
ST_55,BK_2365,SC_395,B2,Regular,True,Available,
ST_56,BK_7277,SC_804,D10,Premium,True,Booked,
ST_57,BK_9026,SC_929,C11,Premium,True,Booked,
ST_58,BK_6223,SC_247,B1,Regular,True,Booked,
ST_59,BK_4326,SC_91,E18,Regular,True,Booked,
ST_60,BK_8398,SC_298,E4,Regular,True,Available,
ST_61,BK_7546,SC_206,D20,VIP,True,Booked,
ST_62,BK_2256,SC_447,C7,Premium,True,Booked,
ST_63,BK_8514,SC_407,D19,Premium,True,Available,
ST_64,BK_8410,SC_171,B8,Regular,True,Available,
ST_65,BK_433,SC_654,E2,Regular,True,Booked,
ST_66,,SC_578,C11,Premium,True,Available,
ST_67,BK_6424,SC_204,E3,Regular,True,Available,
ST_68,BK_4267,SC_846,E6,Regular,True,Available,
ST_69,BK_7963,SC_939,E10,Regular,True,Booked,
ST_70,BK_9456,SC_305,A15,Premium,True,Booked,
ST_71,BK_979,SC_565,B9,Regular,True,Available,
ST_72,BK_2532,SC_12,B10,Premium,True,Booked,
ST_73,BK_1960,SC_129,E7,Regular,True,Booked,
ST_74,BK_6516,SC_11,D16,Premium,True,Booked,
ST_75,BK_920,SC_278,B7,Regular,True,Booked,
ST_76,,SC_365,C15,Regular,True,Booked,
ST_77,BK_6131,SC_576,B10,Regular,True,Booked,
ST_78,,SC_700,C17,Premium,True,Booked,
ST_79,BK_6292,SC_141,C9,Regular,True,Booked,
ST_80,BK_2097,SC_575,B3,Regular,True,Reserved,
ST_81,BK_7827,SC_224,B3,VIP,True,Reserved,
ST_82,BK_2481,SC_331,C20,Regular,True,Booked,
ST_83,BK_822,SC_91,A15,VIP,True,Booked,
ST_84,,SC_379,E9,Regular,True,Available,
ST_85,BK_1576,SC_858,B4,Premium,True,Reserved,
ST_86,BK_8489,SC_108,D7,Regular,True,Booked,
ST_87,BK_1582,SC_57,B7,Regular,True,Available,
ST_89,BK_2316,SC_124,B10,Regular,True,Booked,
ST_90,BK_7563,SC_306,C17,Regular,True,Booked,
ST_91,BK_5146,SC_390,E1,Regular,True,Available,
ST_92,,SC_207,D3,Regular,True,Booked,
ST_93,BK_3427,SC_116,A4,VIP,True,Booked,
ST_94,BK_4827,SC_676,E20,Premium,True,Booked,
ST_95,BK_7865,SC_710,D2,Regular,True,Reserved,
ST_96,,SC_720,C7,Regular,True,Available,
ST_97,BK_6417,SC_787,B17,Regular,True,Booked,
ST_98,BK_7616,SC_583,A3,Regular,True,Booked,
ST_99,BK_9192,SC_188,B16,Regular,True,Available,
ST_100,BK_5783,SC_392,C3,Regular,True,Booked,
ST_101,,SC_274,B5,Regular,True,Available,
ST_102,BK_2235,SC_124,C19,Regular,True,Available,
ST_103,BK_2220,SC_211,C10,Regular,True,Reserved,
ST_105,BK_1668,SC_704,D8,Regular,True,Booked,
ST_106,BK_2398,SC_706,C3,Regular,True,Reserved,
ST_107,BK_8392,SC_325,C1,Premium,True,Booked,
ST_108,BK_9399,SC_510,D20,Premium,True,Booked,
ST_110,BK_9685,SC_24,E17,Regular,True,Booked,
ST_111,BK_629,SC_53,A8,Regular,True,Booked,
ST_112,BK_526,SC_809,C14,Premium,True,Booked,
ST_113,BK_4724,SC_104,B15,Regular,True,Booked,
ST_114,BK_2220,SC_561,D3,Regular,True,Available,
ST_115,BK_4499,SC_348,E13,Regular,True,Booked,
ST_116,BK_8064,SC_678,B13,Premium,True,Booked,
ST_117,BK_2560,SC_316,E4,Regular,True,Booked,
ST_118,BK_4381,SC_984,C3,Regular,True,Booked,
ST_119,BK_4744,SC_445,D7,VIP,True,Reserved,
ST_120,BK_6776,SC_87,D6,Premium,True,Booked,
ST_121,,SC_479,E5,Regular,True,Booked,
ST_122,BK_1867,SC_581,C20,Premium,True,Booked,
ST_123,BK_2721,SC_611,D4,Regular,True,Booked,
ST_126,,SC_57,E19,Regular,True,Booked,
ST_128,BK_4594,SC_120,B19,Premium,True,Booked,
ST_130,BK_6801,SC_150,E3,Regular,True,Available,
ST_131,,SC_578,E20,Premium,True,Available,
ST_132,,SC_146,A7,VIP,True,Reserved,
ST_133,BK_5073,SC_750,C2,Premium,True,Booked,
ST_134,BK_1465,SC_886,B15,Regular,True,Booked,
ST_135,BK_248,SC_252,C19,Premium,True,Booked,
ST_136,,SC_754,D17,Regular,True,Booked,
ST_137,,SC_168,E11,Premium,True,Booked,
ST_138,BK_4267,SC_583,E11,Regular,True,Booked,
ST_140,BK_1833,SC_381,C9,Regular,True,Booked,
ST_141,,SC_643,C20,Premium,True,Booked,
ST_142,BK_4855,SC_903,B19,VIP,True,Available,
ST_143,BK_9795,SC_710,A20,Regular,True,Booked,
ST_144,BK_19,SC_31,E13,Regular,True,Booked,
ST_145,BK_1382,SC_856,B20,Regular,True,Reserved,
ST_146,BK_836,SC_919,D8,Regular,True,Booked,
ST_147,BK_2881,SC_584,C15,Regular,True,Available,
ST_150,BK_7016,SC_121,E19,Premium,True,Available,
ST_151,,SC_132,D9,Premium,True,Available,
ST_154,BK_1217,SC_229,C17,Regular,True,Booked,
ST_155,BK_6397,SC_430,B1,Regular,True,Booked,
ST_156,,SC_922,D4,Regular,True,Booked,
ST_157,BK_8213,SC_709,D6,Regular,True,Reserved,
ST_158,BK_1872,SC_564,D17,Regular,True,Available,
ST_159,BK_7403,SC_247,A10,Regular,True,Booked,
ST_160,BK_4139,SC_326,B5,VIP,True,Reserved,
ST_161,BK_5052,SC_839,A20,Regular,True,Available,
ST_162,BK_2871,SC_467,C18,Premium,True,Booked,
ST_163,BK_5756,SC_424,E4,Premium,True,Booked,
ST_164,BK_1329,SC_709,C20,Regular,True,Booked,
ST_165,BK_6460,SC_72,D12,Regular,True,Booked,
ST_166,BK_3534,SC_381,D8,Regular,True,Booked,
ST_167,BK_8744,SC_91,C9,Regular,True,Booked,
ST_168,BK_1532,SC_803,B18,Regular,True,Booked,
ST_169,,SC_347,C2,Regular,True,Available,
ST_170,BK_195,SC_995,E2,Premium,True,Booked,
ST_171,BK_133,SC_774,C6,Regular,True,Booked,
ST_172,BK_9659,SC_692,D12,Regular,True,Booked,
ST_173,BK_8384,SC_465,D7,Premium,True,Booked,
ST_174,,SC_52,C11,VIP,True,Available,
ST_175,BK_5982,SC_904,D12,Regular,True,Available,
ST_176,BK_1505,SC_655,B10,Regular,True,Booked,
ST_177,,SC_293,B17,Regular,True,Reserved,
ST_178,BK_1537,SC_447,E18,VIP,True,Reserved,
ST_179,BK_4079,SC_823,E20,Regular,True,Available,
ST_180,,SC_431,E10,Regular,True,Booked,
ST_181,BK_4314,SC_950,A16,Regular,True,Available,
ST_182,BK_8948,SC_137,D8,Regular,True,Booked,
ST_183,,SC_312,A14,Regular,True,Available,
ST_185,BK_6682,SC_140,E13,Regular,True,Available,
ST_186,BK_6299,SC_50,E3,Premium,True,Booked,
ST_187,BK_7003,SC_369,A12,Regular,True,Available,
ST_188,BK_6250,SC_637,D2,VIP,True,Booked,
ST_189,BK_5974,SC_721,C2,Regular,True,Booked,
ST_190,BK_9859,SC_911,C13,Regular,True,Booked,
ST_193,BK_4104,SC_877,B2,Regular,True,Booked,
ST_194,BK_9018,SC_171,A11,VIP,True,Booked,
ST_195,BK_7459,SC_306,D19,Regular,True,Reserved,
ST_196,BK_5033,SC_63,B6,VIP,True,Booked,
ST_197,BK_5075,SC_368,B13,Regular,True,Available,
ST_198,BK_2983,SC_725,D6,Regular,True,Booked,
ST_199,BK_2229,SC_615,B18,Regular,True,Booked,
ST_200,BK_5449,SC_27,A3,VIP,True,Booked,
ST_201,BK_9517,SC_519,A5,Premium,True,Booked,
ST_202,BK_7166,SC_251,E17,Premium,True,Booked,
ST_203,,SC_918,C11,Regular,True,Booked,
ST_204,BK_9045,SC_283,A3,Premium,True,Booked,
ST_205,,SC_271,A18,Regular,True,Booked,
