show_id,movie_id,theater_id,screen_id,show_date,start_time,price,available_seats,status
SH_1,MV_2044,TH_489,SC_148,2024-04-06,22:30:00,174.34,139,active
SH_2,MV_7789,TH_291,SC_908,2025-01-26,17:15:00,241.59,100,active
SH_3,MV_4143,TH_364,SC_195,2023-05-19,17:30:00,438.29,158,active
SH_4,MV_905,TH_257,SC_303,2024-07-26,14:30:00,459.39,179,active
SH_5,MV_1508,TH_288,SC_101,2025-02-10,17:15:00,416.48,195,active
SH_6,MV_2162,TH_219,SC_36,2024-05-18,21:15:00,388.59,134,active
SH_7,MV_571,TH_454,SC_663,2024-01-19,18:15:00,267.64,180,active
SH_8,MV_5483,TH_214,SC_757,2025-05-27,21:15:00,496.43,171,active
SH_9,MV_2040,TH_499,SC_512,2023-04-04,20:30:00,406.38,60,active
SH_10,MV_859,TH_452,SC_699,2024-04-06,19:45:00,304.13,197,active
SH_11,MV_6350,TH_451,SC_232,2024-08-31,20:00:00,234.85,168,active
SH_12,MV_7365,TH_383,SC_588,2023-04-23,22:00:00,270.7,159,active
SH_13,MV_7264,TH_401,SC_50,2024-05-11,10:45:00,423.47,74,active
SH_14,MV_9537,TH_258,SC_622,2025-12-18,13:15:00,150.02,194,active
SH_15,MV_7266,TH_307,SC_2,2024-08-16,15:30:00,490.76,81,active
SH_16,MV_514,TH_358,SC_638,2024-07-17,14:15:00,361.44,182,active
SH_17,MV_5416,TH_383,SC_212,2023-02-19,12:30:00,313.9,176,active
SH_19,MV_6995,TH_388,SC_111,2025-09-15,22:45:00,461.07,192,active
SH_20,MV_4140,TH_50,SC_220,2023-11-04,21:15:00,381.14,114,active
SH_21,MV_526,TH_107,SC_650,2024-06-02,15:00:00,216.3,82,active
SH_22,MV_5442,TH_381,SC_177,2023-01-04,17:30:00,244.71,176,active
SH_23,MV_5053,TH_136,SC_12,2024-02-18,11:45:00,448.07,143,active
SH_24,MV_9089,TH_386,SC_714,2024-03-27,18:00:00,471.59,64,active
SH_25,MV_9331,TH_227,SC_177,2025-08-02,13:15:00,473.11,101,active
SH_26,MV_1791,TH_344,SC_655,2023-09-07,10:45:00,183.29,88,active
SH_27,MV_6903,TH_355,SC_166,2025-06-04,18:30:00,254.37,144,active
SH_28,MV_3240,TH_421,SC_96,2023-05-08,21:15:00,296.62,160,active
SH_29,MV_3226,TH_139,SC_6,2023-09-07,13:00:00,152.28,126,active
SH_30,MV_2961,TH_24,SC_451,2024-03-11,22:45:00,330.52,92,active
SH_31,MV_3529,TH_218,SC_507,2023-11-19,19:45:00,419.64,55,active
