theater_id,brand_id,name,location,city,state
TH_1,BR_5,PVR Cinemas,Mangalore 101,Mangalore,Karnataka
TH_2,BR_1,Carnival Cinemas,Nagpur 247,Nagpur,Maharashtra
TH_3,BR_2,Cinepolis,Rajkot 160,Rajkot,Gujarat
TH_4,BR_6,Wave Cinemas,Ajmer 379,Ajmer,Rajasthan
TH_5,BR_2,Cinepolis,Jaipur 377,Jaipur,Rajasthan
TH_6,BR_3,INOX,Bhagalpur 228,Bhagalpur,Bihar
TH_7,BR_2,Cinepolis,Gaya 94,Gaya,Bihar
TH_8,BR_4,Miraj Cinemas,Gaya 14,Gaya,Bihar
TH_9,BR_6,Wave Cinemas,Bathinda 308,Bathinda,Punjab
TH_10,BR_1,Carnival Cinemas,Jalandhar 301,Jalandhar,Punjab
TH_11,BR_2,Cinepolis,Muzaffarpur 188,Muzaffarpur,Bihar
TH_12,BR_4,Miraj Cinemas,Bhagalpur 456,Bhagalpur,Bihar
TH_13,BR_4,Miraj Cinemas,Ujjain 296,Ujjain,Madhya Pradesh
TH_14,BR_6,Wave Cinemas,Belgaum 2,Belgaum,Karnataka
TH_15,BR_5,PVR Cinemas,Ludhiana 232,Ludhiana,Punjab
TH_16,BR_5,PVR Cinemas,Howrah 244,Howrah,West Bengal
TH_17,BR_5,PVR Cinemas,Mysore 142,Mysore,Karnataka
TH_18,BR_4,Miraj Cinemas,Varanasi 142,Varanasi,Uttar Pradesh
TH_19,BR_6,Wave Cinemas,Gaya 419,Gaya,Bihar
TH_20,BR_4,Miraj Cinemas,Bathinda 451,Bathinda,Punjab
TH_21,BR_4,Miraj Cinemas,Kota 90,Kota,Rajasthan
TH_22,BR_2,Cinepolis,Amritsar 315,Amritsar,Punjab
TH_23,BR_3,INOX,Salem 352,Salem,Tamil Nadu
TH_24,BR_1,Carnival Cinemas,Asansol 238,Asansol,West Bengal
TH_25,BR_4,Miraj Cinemas,Patna 73,Patna,Bihar
TH_26,BR_6,Wave Cinemas,Asansol 5,Asansol,West Bengal
TH_27,BR_3,INOX,Agra 253,Agra,Uttar Pradesh
TH_28,BR_4,Miraj Cinemas,Chennai 405,Chennai,Tamil Nadu
TH_29,BR_5,PVR Cinemas,Jaipur 182,Jaipur,Rajasthan
TH_30,BR_1,Carnival Cinemas,Patna 351,Patna,Bihar
TH_31,BR_1,Carnival Cinemas,Bhagalpur 199,Bhagalpur,Bihar
TH_32,BR_5,PVR Cinemas,Kolkata 410,Kolkata,West Bengal
TH_33,BR_1,Carnival Cinemas,Jabalpur 20,Jabalpur,Madhya Pradesh
TH_34,BR_2,Cinepolis,Gwalior 300,Gwalior,Madhya Pradesh
TH_35,BR_3,INOX,Mumbai 33,Mumbai,Maharashtra
TH_36,BR_3,INOX,Nashik 175,Nashik,Maharashtra
TH_37,BR_6,Wave Cinemas,Jaipur 67,Jaipur,Rajasthan
TH_38,BR_2,Cinepolis,Patiala 420,Patiala,Punjab
TH_39,BR_6,Wave Cinemas,Nagpur 316,Nagpur,Maharashtra
TH_40,BR_2,Cinepolis,Salem 412,Salem,Tamil Nadu
TH_41,BR_3,INOX,Bathinda 80,Bathinda,Punjab
TH_42,BR_5,PVR Cinemas,Jabalpur 189,Jabalpur,Madhya Pradesh
TH_43,BR_1,Carnival Cinemas,Varanasi 162,Varanasi,Uttar Pradesh
TH_44,BR_2,Cinepolis,Bathinda 340,Bathinda,Punjab
TH_45,BR_3,INOX,Ujjain 326,Ujjain,Madhya Pradesh
TH_46,BR_6,Wave Cinemas,Siliguri 492,Siliguri,West Bengal
TH_47,BR_1,Carnival Cinemas,Varanasi 487,Varanasi,Uttar Pradesh
TH_48,BR_6,Wave Cinemas,Bangalore 340,Bangalore,Karnataka
TH_49,BR_4,Miraj Cinemas,Hubli 34,Hubli,Karnataka
TH_50,BR_2,Cinepolis,Jaipur 223,Jaipur,Rajasthan
TH_51,BR_3,INOX,Asansol 348,Asansol,West Bengal
TH_52,BR_3,INOX,Ludhiana 161,Ludhiana,Punjab
TH_53,BR_3,INOX,Lucknow 354,Lucknow,Uttar Pradesh
TH_54,BR_2,Cinepolis,Surat 57,Surat,Gujarat
